id,text,label,prelabeled_by_ai,notes
1,"If you're struggling to climb in the current meta, prioritize picking champions with built-in mobility. Immobile carries get punished hard by the assassin population right now. Zed, Talon, and Akali are all strong and you need something that can either dodge their burst or kill them first.",strategy,True,
2,"FAKER JUST WON HIS 5TH WORLD CHAMPIONSHIP. I don't even have words. Greatest esports player of all time, no debate.",hype,True,
3,"I'm so tired of Riot buffing assassins every single patch. There is literally zero counterplay to getting one-shot from fog of war. Just delete the class at this point.",complaint,True,
4,"Scuttle crab control at 3:15 is more valuable than people think. If you take scuttle before the enemy jungler, you deny them vision and XP while setting up your mid laner to roam. Path red → blue → gromp → scuttle for most junglers in the current patch.",strategy,True,
5,"The new Arcane skin line is absolutely gorgeous. Riot's art team knocked it out of the park. I would spend all my RP right now if I could.",hype,True,
6,"Matchmaking in this game is completely broken. I keep getting placed with Bronze players in my Gold games. How is this supposed to help anyone climb?",complaint,True,
7,"Jinx is being heavily undervalued in solo queue right now. Her late-game hyperscaling means any game that goes past 35 minutes is almost an automatic win. If your ranked games are going long, she's your best bet.",strategy,True,
8,"T1 vs GenG game 5 was the best game of competitive LoL I have ever watched. That baron fight at 40 minutes gave me an actual heart attack.",hype,True,
9,"Why does every new champion Riot releases have to be a 400-damage point-and-click ability? It's like they have no imagination left.",complaint,True,
10,"When playing support, roaming to mid at level 6 is almost always worth it if your bot lane has priority. Ping your ADC to hold and walk up river. Even a failed roam often forces the enemy mid laner to back and wastes their time.",strategy,True,
11,"Patch 14.11 is going to be so much fun. The item changes look insane and I can already tell the game is about to feel completely different. So hyped.",hype,True,
12,"The ranked queue is full of smurfs and it's ruining the game for everyone. Riot does nothing about it and it's been a problem for years.",complaint,True,
13,"Kraken Slayer is being massively over-built on ADCs right now. The passive only procs every 3 hits, which means against squishy mages and assassins you're almost never getting full value. Switch to Galeforce for the active dash in those matchups.",strategy,True,
14,"LCS production value this split has been incredible. The stage setup and camera work are on another level. Love seeing the scene grow like this.",hype,True,
15,"Riot's communication with the player base is nonexistent. They'll post a tweet once a month and call that community engagement. It's embarrassing.",complaint,True,
16,"Against heavy poke compositions, take short trades and back off immediately. Don't try to all-in at 60% HP because you'll just die. Wait for their cooldowns to be down after a wave then look for the quick engage.",strategy,True,
17,"The Void Grub objective is one of the best things Riot has added to the game in years. It completely changes early game pathing decisions and makes the first 14 minutes actually interesting.",hype,True,
18,"I just had a Yasuo one-trick flame the entire team for 30 minutes while going 2/11. This community is genuinely one of the worst on the internet.",complaint,True,
19,"When you're ahead as a toplaner, don't sit in side lane all game. Join your team for mid-game objectives like Dragon and Herald. A fed split-pusher who never groups is often less impactful than you'd think.",strategy,True,
